endTime,artistName,trackName,msPlayed
2021-08-29 19:07,Kanye West,Jail,0
2021-08-29 19:09,Kanye West,Jail,120000
2021-08-29 19:12,Kanye West,God Breathed,446
2021-08-29 19:12,Kanye West,Jail,176439
2021-08-29 19:13,Kanye West,God Breathed,49397
2021-08-29 19:19,Kanye West,Off The Grid,0
2021-08-29 19:19,Kanye West,God Breathed,333006
2021-08-29 19:20,Kanye West,Off The Grid,116991
2021-08-29 19:22,Kanye West,Off The Grid,119520
2021-08-29 19:24,Kanye West,Hurricane,495
2021-08-29 19:24,Kanye West,Off The Grid,101893
2021-08-29 19:28,Kanye West,Hurricane,242576
2021-08-29 19:28,Kanye West,Praise God,420
2021-08-29 19:32,Kanye West,Praise God,226170
2021-08-29 19:32,Kanye West,Jonah,325
2021-08-29 19:35,Kanye West,Ok Ok,384
2021-08-29 19:35,Kanye West,Jonah,194698
2021-08-29 19:39,Kanye West,Ok Ok,204384
2021-08-29 19:39,Kanye West,Junya,319
2021-08-29 19:41,Kanye West,Junya,147286
2021-08-29 19:41,Kanye West,Believe What I Say,51
2021-08-29 19:45,Kanye West,Believe What I Say,242172
2021-08-29 19:45,Kanye West,24,121
2021-08-29 19:48,Kanye West,24,197676
2021-08-29 19:48,Kanye West,Remote Control,275
2021-08-29 19:52,Kanye West,Moon,162
2021-08-29 19:52,Kanye West,Remote Control,198226
2021-08-29 19:54,Kanye West,Moon,155793
2021-08-29 19:54,Kanye West,Heaven and Hell,249
2021-08-29 19:57,Kanye West,Heaven and Hell,144957
2021-08-29 19:57,Kanye West,Donda,280
2021-08-29 19:59,Kanye West,Donda,127904
2021-08-29 19:59,Kanye West,Keep My Spirit Alive,287
2021-08-29 20:03,Kanye West,Keep My Spirit Alive,220987
2021-08-29 20:03,Kanye West,Jesus Lord,185
2021-08-29 20:12,Kanye West,Jesus Lord,538226
2021-08-29 20:12,Kanye West,New Again,322
2021-08-29 20:15,Kanye West,Tell The Vision,384
2021-08-29 20:15,Kanye West,New Again,182815
2021-08-29 20:16,Kanye West,Tell The Vision,103729
2021-08-29 20:16,Kanye West,Lord I Need You,280
2021-08-29 20:19,Kanye West,Pure Souls,181
2021-08-29 20:19,Kanye West,Lord I Need You,161717
2021-08-29 20:25,Kanye West,Come to Life,147
2021-08-29 20:25,Kanye West,Pure Souls,358369
2021-08-29 20:27,Kanye West,Come to Life,107135
2021-08-29 20:36,Kanye West,Come to Life,203731
2021-08-29 20:36,Kanye West,No Child Left Behind,0
2021-08-29 20:39,Kanye West,No Child Left Behind,177798
2021-08-29 20:39,Kanye West,Jail pt 2,303
2021-08-29 20:44,Kanye West,Ok Ok pt 2,0
2021-08-29 20:44,Kanye West,Jail pt 2,296563
2021-08-29 20:48,Kanye West,Ok Ok pt 2,204351
2021-08-29 20:48,Kanye West,Junya pt 2,139
2021-08-29 20:51,Kanye West,Jesus Lord pt 2,183
2021-08-29 20:51,Kanye West,Junya pt 2,182355
2021-08-29 21:02,Kanye West,Jesus Lord pt 2,690414
2021-08-29 21:02,JAY-Z,Ni**as In Paris,3114
2021-08-29 21:08,Kanye West,Donda Chant,458
2021-08-29 21:09,Kanye West,Jail,7125
2021-08-29 21:09,Kanye West,Jail,2805
2021-08-29 21:13,Kanye West,Jail,275274
2021-08-29 21:18,Kanye West,Jail pt 2,287231
2021-08-29 21:24,Kanye West,Off The Grid,137
2021-08-29 21:24,Kanye West,God Breathed,333142
2021-08-29 21:29,Kanye West,Hurricane,109
2021-08-29 21:29,Kanye West,Off The Grid,338983
2021-08-29 21:31,Kanye West,Hurricane,99946
2021-08-29 21:31,Kanye West,Jail,5610
2021-08-29 21:36,Kanye West,Jail,280352
2021-08-29 21:41,Kanye West,Jail pt 2,287135
2021-08-29 21:46,Kanye West,Off The Grid,74
2021-08-29 21:46,Kanye West,God Breathed,333173
2021-08-29 21:52,Kanye West,Hurricane,103
2021-08-29 21:52,Kanye West,Off The Grid,339042
2021-08-29 21:56,Kanye West,Hurricane,242967
2021-08-29 21:56,Kanye West,Praise God,61
2021-08-29 22:00,Kanye West,Praise God,226483
2021-08-29 22:00,Kanye West,Jonah,108
2021-08-29 22:03,Kanye West,Ok Ok,54
2021-08-29 22:03,Kanye West,Jonah,194974
2021-08-29 22:06,Kanye West,Ok Ok,204437
2021-08-29 22:06,Kanye West,Junya,117
2021-08-29 22:09,Kanye West,Junya,147510
2021-08-29 22:09,Kanye West,Believe What I Say,9
2021-08-29 22:10,Kanye West,Believe What I Say,73087
2021-08-30 01:54,Kanye West,Jail,297000
2021-08-30 02:00,Kanye West,God Breathed,333461
2021-08-30 02:05,Kanye West,Off The Grid,339249
2021-08-30 02:09,Kanye West,Hurricane,202288
2021-08-30 02:10,Kanye West,Tell The Vision,104218
2021-08-30 02:10,Kanye West,Lord I Need You,3247
2021-08-30 02:11,Kanye West,Come to Life,11061
2021-08-30 02:14,Kanye West,Hurricane,195562
2021-08-30 02:14,Kanye West,Off The Grid,28618
2021-08-30 02:16,Kanye West,Tell The Vision,104218
2021-08-30 02:16,Kanye West,Lord I Need You,10703
2021-08-30 02:19,Kanye West,Moon,156091
2021-08-30 02:20,Kanye West,Heaven and Hell,42884
2021-08-30 03:09,Kanye West,Jail,297000
2021-08-30 03:14,Kanye West,God Breathed,333461
2021-08-30 03:20,Kanye West,Off The Grid,339249
2021-08-30 03:24,Kanye West,Hurricane,243187
2021-08-30 03:28,Kanye West,Praise God,226652
2021-08-30 03:31,Kanye West,Jonah,195170
2021-08-30 03:35,Kanye West,Ok Ok,204629
2021-08-30 03:37,Kanye West,Junya,147668
2021-08-30 03:41,Kanye West,Believe What I Say,242400
2021-08-30 03:44,Kanye West,24,197898
2021-08-30 03:48,Kanye West,Remote Control,198613
2021-08-30 03:50,Kanye West,Moon,156091
2021-08-30 03:53,Kanye West,Heaven and Hell,145301
2021-08-30 03:55,Kanye West,Donda,128313
2021-08-30 03:58,Kanye West,Keep My Spirit Alive,221385
2021-08-30 04:07,Kanye West,Jesus Lord,538536
2021-08-30 04:11,Kanye West,New Again,183296
2021-08-30 04:12,Kanye West,Tell The Vision,104218
